WECANTHEIRMIL_LOG;Мы разорвали соглашение на проход наших войск через территорию державы $RECIPIENT$.;$ACTOR$ : ce pays a annulй l'accиs militaire accordй а $RECIPIENT$.;$ACTOR$ hat den Militдrzugangsvertrag fьr $RECIPIENT$ aufgekьndigt.;$ACTOR$ anuluje przemarsz wojsk przez terytorium paсstwa $RECIPIENT$.;$ACTOR$ ha cancelado el tratado de acceso militar que tenнa en $RECIPIENT$.;$ACTOR$ ha annullato il trattato di accesso militare a: $RECIPIENT$.;$ACTOR$ visszavonta a katonai hozzбfйrйst, amit a kцvetkezхtхl kapott: $RECIPIENT$.;$ACTOR$ zruљili dohodu o vojenskйm pшнstupu, kterou kdysi uzavшeli s $RECIPIENT$.;;;;;;x;
WECANTHEIRMIL_BTN1;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WECANTHEIRMIL_BTN2;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WECANTHEIRMIL_BTN3;Перейти;Voir;GOTO;Idџ do;Ir allн;Andare;Ugrбs;Pшejнt na;;;;;;x;
WECANTHEIRMIL_MAP;*;*;*;*;*;*;*;;;;;;;x;
SUCCESSIONWAR_SETUP;Начинается война за наследство с участием других держав;Lorsqu'une guerre de succession impliquant d'autres nations йclate;Wenn ein Erbfolgekrieg unter anderen Nationen ausbricht;;Cuando estalla una guerra de sucesiуn que implica a otras naciones;;;;;;;;;;
SUCCESSIONWAR_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
SUCCESSIONWAR_1;Война за $TARGET$ наследство!;$TARGET$ : guerre de succession !;$TARGET$r Thronfolgekrieg!;Wojna o sukcesjк $TARGET$!;ЎGuerra de sucesiуn en $TARGET$!;Guerra di successione: $TARGET$!;$TARGET$ цrцkцsцdйsi hбborъja!;Vбlka o nбslednictvн $TARGET$!;;;;;;x;
SUCCESSIONWAR_2;$MONARCHTITLE$, держава $SECOND$ объявила войну державе;$MONARCHTITLE$, $SECOND$ est parti en guerre avec;$MONARCHTITLE$, $SECOND$ zogen in den Krieg gegen;$SECOND$ jest w stanie wojny z;$MONARCHTITLE$, $SECOND$ ha entrado en guerra con;$MONARCHTITLE$, $SECOND$ ha dichiarato guerra a:;$SECOND$ hбborъba keveredett a kцvetkezхvel:;$MONARCHTITLE$, $SECOND$ zaиal vбlиit s;;;;;;x;
SUCCESSIONWAR_3;$FIRST$.;$FIRST$;$FIRST$;$FIRST$.;$FIRST$;$FIRST$;$FIRST$;$FIRST$;;;;;;x;
SUCCESSIONWAR_4;Старый монарх державы $NATION$ завещал свой трон правителю державы $FIRST$. Тем не менее, держава;Le vieux roi de $NATION$ avait exprimй le souhait que son trфne revienne а $FIRST$.;Der verstorbene Kцnig von $NATION$ hatte $FIRST$ den Thron vermacht.;Stary krуl paсstwa $NATION$ chciaі, aby po jego њmierci tron zostaі przejкty przez $FIRST$.;El anciano rey de $NATION$ deseaba que el trono pasara a manos de $FIRST$ a su muerte.;Il vecchio re di $NATION$ ha designato $FIRST$ come suo successore al trono.;$NATION$ цreg kirбlya ezt a trуnt $FIRST$ rйszйre akarta hagyomбnyozni halбla utбn.;Pщvodnн krбl $NATION$ si pшбl, aby jeho trщn zdмdil $FIRST$.;;;;;;x;
SUCCESSIONWAR_5;$SECOND$;Mais un $SECOND$ estime que le roi n'avait plus toute sa tкte et veut le trфne. ;$SECOND$ behauptet jedoch, dass der alte Kцnig nicht mehr bei Sinnen war, und dass der Thron von $NATION$ ihnen zusteht.;$SECOND$ utrzymuje(№), їe stary krуl byі niespeіna rozumu i to oni powinni obj№ж tron $NATION$.;$SECOND$;Tuttavia, $SECOND$ sostiene che il vecchio re non fosse in possesso delle sue facoltа mentali e rivendica per sй il trono di $NATION$.;Бmbбr $SECOND$ szerint az цreg kirбly mбr nem volt ekkor йsznйl, йs a trуn valуjбban $NATION$ nemzetйt illetnй.;Nicmйnм $SECOND$ tvrdн, ћe starэ krбl nebyl pшниetnэ a ћe to oni majн nбrok na trщn $NATION$;;;;;;x;
SUCCESSIONWAR_6;заявила, что старый монарх был не в своем уме, подписывая завещание, и трон державы $NATION$ должен достаться им. Это будет долгая и кровавая борьба...;C'est une longue et sanglante guerre qui s'annonce.;Dies kцnnte ein langer und blutiger Kampf werden.;To moїe byж dіuga i krwawa walka.;Sin embargo, $SECOND$ afirma que el viejo rey chocheaba un poco y que son ellos quienes deben ocupar el trono de $NATION$. Esto podrнa convertirse en un conflicto largo y sangriento.;Potrebbe scoppiare una guerra lunga e sanguinosa.;Ez egy hosszъ йs vйres csata lesz.;Z toho by mohl bэt dlouhэ a krvavэ boj.;;;;;;x;
SUCCESSIONWAR_LOG;Между державами $FIRST$ и $SECOND$ вспыхнула война за $TARGET$ наследство.;$TARGET$ : guerre de succession entre $FIRST$ et $SECOND$!;$TARGET$-Thronfolgekrieg zwischen $FIRST$ und $SECOND$ hat begonnen.;Pomiкdzy $FIRST$ i $SECOND$ rozpoczкіa siк wojna o sukcesjк $TARGET$.;Se ha iniciado la guerra de sucesiуn en $TARGET$ entre $FIRST$ y $SECOND$.;И scoppiata la guerra di successione: $TARGET$ tra $FIRST$ e $SECOND$.;$TARGET$ цrцkцsцdйsi hбborъja $FIRST$ йs $SECOND$ nemzete kцzцtt robbant ki.;Vбlka o trщn $TARGET$ propukla mezi $FIRST$ a $SECOND$.;;;;;;x;
SUCCESSIONWAR_BTN1;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
SUCCESSIONWAR_BTN2;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
SUCCESSIONWAR_BTN3;Перейти;Voir;GOTO;Idџ do;Ir allн;Andare;Ugrбs;Pшejнt na;;;;;;x;
SUCCESSIONWAR_MAP;*;*;*;*;*;*;*;;;;;;;x;
SUCCESSIONWARUS_SETUP;Начинается война за наследство с нашим участием;Lorsqu'une guerre de succession nous impliquant йclate;Wenn ein Nachfolgekrieg ausbricht, in den wir verwickelt sind;;Cuando estalla una guerra de sucesiуn que nos implica;;;;;;;;;x;
SUCCESSIONWARUS_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
SUCCESSIONWARUS_1;Война за $TARGET$ наследство!;$TARGET$ : guerre de succession !;$TARGET$r Thronfolgekrieg!;Wojna o sukcesjк $TARGET$!;ЎGuerra de sucesiуn en $TARGET$!;Guerra di successione: $TARGET$!;$TARGET$ цrцkцsцdйsi hбborъja!;Vбlka o nбslednictvн $TARGET$!;;;;;;x;
SUCCESSIONWARUS_2;$MONARCHTITLE$, держава $SECOND$ объявила войну державе;$MONARCHTITLE$, $SECOND$ est parti en guerre avec;$MONARCHTITLE$, $SECOND$ zogen in den Krieg gegen;$SECOND$ jest w stanie wojny z;$MONARCHTITLE$, $SECOND$ ha entrado en guerra con;$MONARCHTITLE$, $SECOND$ ha dichiarato guerra a:;$SECOND$ hбborъba keveredett a kцvetkezхvel:;$MONARCHTITLE$, $SECOND$ zaиal vбlиit s;;;;;;x;
SUCCESSIONWARUS_3;$FIRST$.;$FIRST$;$FIRST$;$FIRST$.;$FIRST$;$FIRST$;$FIRST$;$FIRST$;;;;;;x;
SUCCESSIONWARUS_4;Старый монарх державы $NATION$ завещал свой трон правителю державы $FIRST$. Тем не менее, держава;Le vieux roi de $NATION$ avait exprimй le souhait que son trфne revienne а $FIRST$.;Der verstorbene Kцnig von $NATION$ hatte $FIRST$ den Thron vermacht.;Stary krуl paсstwa $NATION$ chciaі, aby po jego њmierci tron zostaі przejкty przez $FIRST$.;El anciano rey de $NATION$ deseaba que, a su muerte, el trono pasara a manos de $FIRST$.;Il vecchio re di $NATION$ ha designato $FIRST$ come suo successore al trono.;$NATION$ цreg kirбlya ezt a trуnt $FIRST$ rйszйre akarta hagyomбnyozni halбla utбn.;Pщvodnн krбl $NATION$ si pшбl, aby jeho trщn zdмdil $FIRST$.;;;;;;x;
SUCCESSIONWARUS_5;$SECOND$;Mais un $SECOND$ estime que le roi n'avait plus toute sa tкte et veut le trфne. ;$SECOND$ behauptet jedoch, dass der alte Kцnig nicht mehr bei Sinnen war, und dass der Thron von $NATION$ ihnen zusteht.;$SECOND$ utrzymuje(№), їe stary krуl byі niespeіna rozumu i to oni powinni obj№ж tron $NATION$.;$SECOND$;Tuttavia, $SECOND$ sostiene che il vecchio re non fosse in possesso delle sue facoltа mentali e rivendica per sй il trono di $NATION$.;Бmbбr $SECOND$ szerint az цreg kirбly mбr nem volt ekkor йsznйl, йs a trуn valуjбban $NATION$ nemzetйt illetnй.;Nicmйnм $SECOND$ tvrdн, ћe starэ krбl nebyl pшниetnэ a ћe to oni majн nбrok na trщn $NATION$;;;;;;x;
SUCCESSIONWARUS_6;заявила, что старый монарх был не в своем уме, подписывая завещание, и трон державы $NATION$ должен достаться им. Это будет долгая и кровавая борьба...;C'est une longue et sanglante guerre qui s'annonce.;Dies kцnnte ein langer und blutiger Kampf werden.;To moїe byж dіuga i krwawa walka.;Sin embargo, $SECOND$ afirma que el viejo rey chocheaba un poco y que son ellos quienes deben ocupar el trono de $NATION$. Esto podrнa convertirse en un conflicto largo y sangriento.;Potrebbe scoppiare una guerra lunga e sanguinosa.;Ez egy hosszъ йs vйres csata lesz.;Z toho by mohl bэt dlouhэ a krvavэ boj.;;;;;;x;
SUCCESSIONWARUS_LOG;Между державами $FIRST$ и $SECOND$ вспыхнула война за $TARGET$ наследство.;$TARGET$ : guerre de succession entre $FIRST$ et $SECOND$!;$TARGET$-Thronfolgekrieg zwischen $FIRST$ und $SECOND$ hat begonnen.;Pomiкdzy $FIRST$ i $SECOND$ rozpoczкіa siк wojna o sukcesjк $TARGET$.;Se ha iniciado la guerra de sucesiуn en $TARGET$ entre $FIRST$ y $SECOND$.;И scoppiata la guerra di successione: $TARGET$ tra $FIRST$ e $SECOND$.;$TARGET$ цrцkцsцdйsi hбborъja $FIRST$ йs $SECOND$ nemzete kцzцtt robbant ki.;Vбlka o trщn $TARGET$ propukla mezi $FIRST$ a $SECOND$.;;;;;;x;
SUCCESSIONWARUS_BTN1;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
SUCCESSIONWARUS_BTN2;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
SUCCESSIONWARUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir allн;Andare;Ugrбs;Pшejнt na;;;;;;x;
SUCCESSIONWARUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
LEDGER_PROVINCE_DECISIONS;Провинциальные решения;Dйcisions des provinces;Provinzentscheidungen;;Decisiones provinciales;;;;;;;;;x;
IS_NOT_VOTING_FOR1;Не голосует за державу;Ne vote pas pour;Wдhlt nicht fьr;;No vota por;;;;;;;;;x;
IS_NOT_VOTING_FOR2;на выборах императора;comme empereur;als Kaiser;;como emperador;;;;;;;;;x;
IS_VOTING_FOR1;Будет голосовать за державу ;Soutiendra;Unterstьtzt nun;;Darб apoyo;;;;;;;;;x;
IS_VOTING_FOR2;на выборах императора;comme empereur.;Kaiser zu werden;;para convertirse en emperador.;;;;;;;;;x;
HAVE_LESS_TARIFF_THAN;Эффективность сбора пошлин меньше ;Efficacitй des tarifs douaniers infйrieure а;Tariffeffizienz niedriger als;;Tasa de eficiencia en menos de;;;;;;;;;x;
HAVE_MORE_TARIFF_THAN;Эффективность сбора пошлин не меньше ;Efficacitй des tarifs douaniers d'au moins;Tariffeffizienz zumindest;;Tasa de eficiencia al menos;;;;;;;;;x;
convince_elector_title;Получить голос державы $COUNTRY$;Faites en sorte que $COUNTRY$ vote pour nous !;Bewegt $COUNTRY$ dazu, fьr uns zu stimmen!;;ЎHaz que $COUNTRY$ vote por nosotros!;;;;;;;;;x;
convince_elector_desc;Держава $COUNTRY$ имеет голос в Священной Римской империи, но, к сожалению, они не поддерживают наше стремление стать императором. Мы должны изменить это во что бы то ни стало: обещаниями, угрозами или подкупом!;$COUNTRY$ est un йlecteur du Saint Empire romain. Hйlas, il ne soutient pas notre ambition de devenir empereur. Nous devons y remйdier а grand renfort de promesses, de menaces ou d'or !;$COUNTRY$ ist ein Kurfьrst des Heiligen Rцmischen Reiches, aber traurigerweise unterstьtzen sie nicht unsere Ambition, Kaiser zu werden. Wir mьssen das дndern, mit Versprechungen, Drohungen und Gold!;;$COUNTRY$ es un elector del Sacro Imperio Romano, pero por desgracia no respalda nuestra ambiciуn de ser emperador. ЎDebemos cambiar esto, con promesas, amenazas y oro!;;;;;;;;;x;
improve_tariff_mission_title;Поддержать торговые пути;Maintenir nos routes commerciales;Erhaltet die Schiffsrouten;;Mantйn rutas de embarque;;;;;;;;;x;
improve_tariff_mission_desc;Наши колонии для процветания нуждаются в стабильных, защищенных морских линиях. Для этого и для подтверждения наших колониальных амбиций мы должны построить сильный флот. Галеры и транспорты для такого флота не подойдут.;La prospйritй de nos colonies passe par des couloirs maritimes stables et protйgйs. Dиs lors, il nous faut veiller а aligner notre marine sur nos ambitions coloniales. Les galиres et les navires de transport ne sont d'aucune utilitй.;Unsere Kolonien brauchen stabile, geschьtzte Schifffahrtswege, um sich zu entwickeln. Daher mьssen wir unsere Flotte aufbauen, um unsere kolonialen Ambitionen zu unterstьtzen. Galleeren und Transporter sind dazu nicht von Nutzen.;;Nuestras colonias necesitan rutas de navegaciуn estables para prosperar. Asн pues, debemos construir nuestra flota para ayudar a nuestra ambiciуn colonial. Las galeras y barcos de carga no sirven para eso.;;;;;;;;;x;
EVTNAME722;Болезнь монарха;Maladie de $MONARCHTITLE$;Krankheit des $MONARCHTITLE$;;Enfermedad de $MONARCHTITLE$;;;;;;;;;x;
EVTDESC722;$MONARCH$ серьезно болеет, и потому не может справиться со всеми аспектами управления страной. Как мы выйдем из этой ситуации?;$MONARCH$ est tombй malade et ne peut plus gйrer tous les aspects de $COUNTRY$ pour le moment. Que devons-nous faire ?;$MONARCH$ ist krank geworden und kann nicht alle Aspekte der Herrschaft ьber $COUNTRY$ wahrnehmen. Aber wie sollen wir damit umgehen?;;$MONARCH$ ha caнdo enfermo, y no puede ocuparse de todos los aspectos que conlleva gobernar $COUNTRY$ mientras. їCуmo lo solucionamos?;;;;;;;;;x;
EVTOPTA722;Больше власти знати;Plus de pouvoir aux nobles.;Mehr Macht dem Adel.;;Mбs poder para la nobleza.;;;;;;;;;x;
EVTOPTB722;Больше власти провинциям;Dйlйguez davantage aux provinces.;Deligiert mehr an die Provinzen.;;Delega mбs en las provincias.;;;;;;;;;x;
EVTNAME723;Местная знать бросает вызов стране;Les nobles de la rйgion dйfient $COUNTRY$;Regionale Adlige fordern $COUNTRY$ heraus.;;La nobleza regional desafнa a $COUNTRY$;;;;;;;;;x;
EVTDESC723;Отдельные дворяне не удовлетворены данными им привилегиями. Они требуют еще больше прав, угрожая в обратном случае поднять восстание против правительства.;Les nobles locaux ne sont pas satisfaits des privilиges qui leur sont accordйs. Ils exigent plus de droits et sont prкts а fomenter une rйbellion contre le $MONARCHTITLE$.;Lokale Adlige sind mit den Vorteilen, die sie erhalten, nicht zufrieden. Sie verlangen mehr Rechte und sind willig, diese mit einer Rebellion gegen den $MONARCHTITLE$ durchzusetzen.;;La nobleza local no estб satisfecha con los privilegios concedidos. Exigen mбs, y estбn dispuestos a apoyar una rebeliуn contra el $MONARCHTITLE$.;;;;;;;;;x;
EVTOPTA723;Сокрушить их!;Йcrasez-les !;Vernichtet sie!;;ЎAplбstalos!;;;;;;;;;x;
EVTOPTB723;Дать им больше полномочий;Accordez-leur une plus grande autoritй locale.;Gebt ihnen mehr lokale Autoritдt.;;Dales mбs autoridad local.;;;;;;;;;x;
EVTOPTC723;Провести реформы общества;Rйformez la sociйtй.;Reformiert die Gesellschaft;;Reforma la sociedad;;;;;;;;;x;
EVTNAME724;Духовенство осуждает философа как еретика;Le clergй condamne le philosophe pour hйrйsie !;Der Klerus bezeichnet einen Philosophen als Hдretiker!;;ЎEl clero condena a un filуsofo natural por hereje!;;;;;;;;;x;
EVTDESC724;Выдающийся естествоиспытатель продвигает новые утверждения, противоречащие религиозным верованиям. Духовенство требует остановить его и примерно наказать, иначе это приведет к беспорядкам в государстве.;Un йminent philosophe avance une thиse qui contredit les vйritйs religieuses. Le clergй exige qu'il soit arrкtй et chвtiй. De toute faзon, cela va faire grand bruit dans le royaume.;Ein prominenter Naturphilosoph predigt Weisheiten, die denen der Kirche widersprechen. Der Klerus verlangt, das er gestoppt wird und ihm zur Bestrafung ausgeliefert. Egal was wir tun, dies wird groЯe Unruhe im Reich hervorrufen.;;Un destacado filуsofo natural estб difundiendo afirmaciones que contradicen la verdad religiosa. El clero exige que sea detenido y se lo entreguen para castigarlo. De un modo u otro, esto causarб gran agitaciуn en el reino.;;;;;;;;;x;
EVTOPTA724;Поддержать духовенство;Soutenez le clergй.;Unterstьtzt den Klerus;;Apoya al clero;;;;;;;;;x;
EVTOPTB724;Поддержать философа;Soutenez le philosophe.;Unterstьtzt den Philosophen;;Apoya al filуsofo;;;;;;;;;x;
EVTNAME725;Города привлекают к себе крепостных;La croissance des villes attire les serfs;Wachstum der Stдdte lockt Leibeigene an;;El crecimiento de las ciudades atrae a siervos;;;;;;;;;x;
EVTDESC725;Кажется, крепостные бегут из своих провинций в столицу в поисках лучшей жизни. Это приводит к росту беспорядка в стране, однако наша столица может извлечь из этого выгоду.;Il semble que les serfs quittent les provinces en quкte d'une vie meilleure dans la capitale. Il en rйsulte des troubles dans le pays, mais sur le long terme, notre capitale pourrait en tirer parti.;Es scheint als ob die Leibeigenen aus den Provinzen fortziehen und danach streben, in der Hauptstadt zu leben. Das ruft Unruhe im Reich hervor, aber unsere Hauptstadt kцnnte auf lange Sicht davon profitieren.;;Parece que los siervos se estбn yendo de las provincias y pretenden ganarse la vida en la capital. Ello estб creando agitaciуn en el campo, pero nuestra capital puede beneficiarse a largo plazo.;;;;;;;;;x;
EVTOPTA725;Придется с этим смириться;Il nous faut l'accepter.;Wir mьssen das akzeptieren;;Debemos aceptarlo.;;;;;;;;;x;
EVTOPTB725;Крепостные принадлежат своей земле;Les serfs ne sont pas libres.;Die Leibeigenen mьssen auf ihrem Land bleiben;;Los siervos pertenecen a su territorio.;;;;;;;;;x;
EVTNAME726;Пятно на репутации правителя;La rйputation de $MONARCHTITLE$ entachйe !;$MONARCHTITLE$ґs Ruf geschдdigt!;;ЎReputaciуn de $MONARCHTITLE$ empaсada!;;;;;;;;;x;
EVTDESC726;При дворе распространяются пропагандистские тексты о том, что $MONARCH$ - безжалостный властолюбец. Это может повлиять на наши отношения с другими странами.;А la cour, les rumeurs vont bon train sur la nature impitoyable et la soif de pouvoir de $MONARCH$. Cela risque de se rйpercuter sur nos relations avec les autres pays.;Eine Art Propagandatext zirkuliert am Hof, der $MONARCH$ als machthungrig darstellt. Das kцnnte unsere Beziehungen zu anderen Nationen schдdigen.;;Circula en la corte propaganda que tacha a $MONARCH$ de tirano implacable. Podrнa afectar a nuestras relaciones con otros paнses.;;;;;;;;;x;
EVTOPTA726;Придется следить за репутацией;Soyez digne de cette rйputation !;Lebt den Ruf!;;ЎReconoce tu reputaciуn!;;;;;;;;;x;
EVTOPTB726;Казнить кого-нибудь за это;Exйcutez quelqu'un pour cela !;Richtet jemanden dafьr hin!;;ЎEjecuta a alguien por esto!;;;;;;;;;x;
attack_prestigous_rival_title;Атаковать державу $COUNTRY$;Attaquer $COUNTRY$;Greift $COUNTRY$ an;;Ataca $COUNTRY$;;;;;;;;;x;
attack_prestigous_rival_desc;Держава $COUNTRY$, наш заклятый враг, обладает большим престижем, чем мы. Мы должны разрушить их, объявив им войну!;Notre fйroce rival de $COUNTRY$ jouit d'un plus grand prestige que nous. Il nous faut y remйdier en lui dйclarant la guerre !;Unser Erzrivale $COUNTRY$ hat mehr Prestige als wir. Wir mьssen das дndern und ihnen den Krieg erklдren!;;Nuestro encarnizado rival de $COUNTRY$ tiene mбs prestigio que nosotros. ЎDebemos bajarle los humos declarбndole la guerra!;;;;;;;;;x;
attack_weaker_rival_title;Сокрушить державу $COUNTRY$;Йcraser $COUNTRY$;Vernichtet $COUNTRY$;;Aplasta $COUNTRY$;;;;;;;;;x;
attack_weaker_rival_desc;Держава $COUNTRY$, наш заклятый враг, втянута в войну, и сейчас они слабее нас. Мы должны разрушить их, объявив им войну!;Notre fйroce rival de $COUNTRY$ est impliquй dans une guerre et s'avиre plus faible que nous. Il nous faut y remйdier en lui dйclarant la guerre !;Unser Erzrivale $COUNTRY$ ist im Krieg und schwдcher als wir. Wir mьssen das ausnutzen und ihnen den Krieg erklдren!;;Nuestro encarnizado rival de $COUNTRY$ estб envuelto en una guerra, y es mбs dйbil que nosotros. ЎBajйmosle los humos y declarйmosle la guerra!;;;;;;;;;x;
EVTNAME727;Народная поддержка войны;Battez-vous !;Kдmpft den noblen Kampf!;;ЎLucha por una buena causa!;;;;;;;;;x;
EVTDESC727;Мы ведем войну с одним из наших заклятых врагов. Каждый житель государства чувствует, что эту битву мы должны выиграть, и каждый вносит свою лепту в грядущую победу.;Nous sommes en guerre contre l'un de nos rivaux. Dans le royaume, tout le monde pense qu'il nous faut gagner cette bataille et fait le nйcessaire.;Wir sind im Krieg gegen einen unserer Rivalen. Jeder im Reich denkt, dass wir diesen Kampf gewinnen mьssen, und sie tragen ihren Teil dazu bei.;;Estamos en guerra con uno de nuestros rivales. Todos en el reino sienten que es una pelea que debemos ganar, y estбn haciendo su parte.;;;;;;;;;x;
EVTOPTA727;Держать строй!;Gardez le cap !;Haltet die Linie!;;ЎMantйn la posiciуn!;;;;;;;;;x;
EVTNAME728;Притязания к нашим врагам;Revendications sur nos rivaux !;Ansprьche an unsere Rivalen!;;ЎReclamaciones a nuestros rivales!;;;;;;;;;x;
EVTDESC728;Мы создали несколько очень убедительных документов, доказывающих, что у нас есть исторические права на одну из провинций нашего врага!;Nous avons rйussi а produire de trиs lйgitimes documents qui attestent de notre revendication historique d'une de leurs provinces !;Wir haben es geschafft, sehr legitime Dokumente vorzuweisen fьr unsere Anspruch auf eine ihrer Provinzen.;;ЎHemos logrado crear documentos de lo mбs autйntico que demuestran que tenemos derecho histуrico sobre una de sus provincias!;;;;;;;;;x;
EVTOPTA728;Славься, страна!;La gloire va sourire а $COUNTRY$ !;Glorreich wird unser $COUNTRY$ sein!;;ЎGloria a $COUNTRY$!;;;;;;;;;x;
IS_NOT_RIVAL_WITH;Не является врагом державы ;N'est pas un rival de;Ist kein Rivale von;;No es rival de;;;;;;;;;x;
IS_RIVAL_WITH;Является врагом державы ;Est un rival de;Ist ein Rivale von;;Es rival de;;;;;;;;;x;
IS_THREAT1;Рассматривает державу ;Voit;Ansichten;;Lo ve;;;;;;;;;x;
IS_THREAT2;как угрозу себе;comme une menace.;als Bedrohung.;;como una amenaza.;;;;;;;;;x;
IS_NOT_THREAT1;Не рассматривает державу ;Ne voit pas;Sieht;;No lo ve;;;;;;;;;x;
IS_NOT_THREAT2;в качестве угрозы;comme une menace.;nicht als Bedrohung an.;;como una amenaza.;;;;;;;;;x;
uncontested_cores;Неоспоренные права;Revendications incontestйes;Nicht umkдmpfte Ansprьche;;Reclamaciones no impugnadas;;;;;;;;;x;
italian_ambition_title;Итальянские амбиции;Ambition italienne;Italienische Ambition;;Ambiciуn italiana;;;;;;;;;x;
italian_ambition_desc;Италия богата, и мы просто обязаны захвать хотя бы ее часть и воспользоваться ее богатствами.;L'Italie est riche et bien tentante. Nous allons prendre notre part de l'Italie et nous octroyer ses richesses.;Italien ist reich und reif, eingenommen zu werden. Wir werden uns einen Teil von Italien nehmen und seine Reichtьmer fьr uns nutzen.;;Italia es rica, y estб lista para ser tomada. Vigilaremos nuestra parte de Italia, y nos llevaremos sus riquezas.;;;;;;;;;x;
PUENDMASTER_SETUP;Держава разрывает личную унию с нами;Lorsqu'un pays met fin а une union personnelle avec nous;Wenn ein Land eine Personalunion mit uns beendet.;;Cuando un paнs termina una uniуn personal con nosotros;;;;;;;;;x;
PUENDMASTER_HEADER;Наш канцлер сообщает:;Fin d'une union;Eine Union endet;;Uniуn terminada;;;;;;;;;x;
PUENDMASTER_1;Конец унии!;Fin de l'union personnelle;Personalunion beendet;Koniec obowi№zywania unii personalnej;Fin de la uniуn personal;Unione personale terminata;A Perszonбluniуnak vйge;Personбlnн unie skonиila;;;;;;x;
PUENDMASTER_2;Государь, наша личная уния с державой;Notre union personnelle;Unsere Personalunion;Nasza unia personalna;La uniуn personal;La nostra unione personale;Perszonбluniуnk, melyet;Naљe personбlnн unie;;;;;;x;
PUENDMASTER_3;$KINGCOUNTRY$ разорвана!;avec $KINGCOUNTRY$ est dissoute.;mit $KINGCOUNTRY$ ist aufgelцst;;con $KINGCOUNTRY$ se ha disuelto;;;;;;;;;x;
PUENDMASTER_4;Вероломные дворяне державы $KINGCOUNTRY$ решили выбрать своего собственного короля.;Les traоtres nobles de $KINGCOUNTRY$ ont йlu leur propre roi.;Die verrдterischen Adligen von $KINGCOUNTRY$ haben ihren eigenen Kцnig gewдhlt.;;Los traidores nobles de $KINGCOUNTRY$ han elegido a su propio rey.;;;;;;;;;x;
PUENDMASTER_5;*;*;*;*;*;*;*;;;;;;;x;
PUENDMASTER_6;*;*;*;*;*;*;*;;;;;;;x;
PUENDMASTER_LOG;Держава $KINGCOUNTRY$ разорвала нашу с ними личную унию.;$KINGCOUNTRY$ : notre union personnelle avec ce pays est finie.;Unsere Personalunion mit $KINGCOUNTRY$ ist vorьber.;Nasza unia personalna z paсstwem $KINGCOUNTRY$ zakoсczyіa siк.;La uniуn personal con $KINGCOUNTRY$ ha terminado.;La nostra unione personale con: $KINGCOUNTRY$ и terminata.;A $KINGCOUNTRY$ nemzetйvel kцtцtt perszonбluniуnk vйget йrt.;Naљe personбlnн unie s $KINGCOUNTRY$ skonиila.;;;;;;x;
PUENDMASTER_BTN1;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
PUENDMASTER_BTN2;ОК;Ok;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
PUENDMASTER_BTN3;Перейти;Voir;GOTO;IDЏ DO;Ir allн;ANDARE;Menj ide:;PШEJНT NA;;;;;;x;
PUENDMASTER_MAP;*;*;*;*;*;*;*;*;;;;;;x;
CANT_NEGOTIATE;Их требования абсолютно неприемлемы вследствие следующего:;Leurs exigences sont absolument inacceptables pour les raisons suivantes :;Ihre Forderungen sind wegen der folgenden Dinge inakzeptabel:;;Sus exigencias son del todo inaceptables debido a lo siguiente:;;;;;;;;;x;
ON_ACTION_CHANCE;Если мы пойдем этим путем, то могут произойти следующие события:;Ce qui suit peut se produire si nous prenons cette direction.;Folgendes kann eintreten, wenn wir in diese Richtung gehen.;;Puede pasar lo siguiente si vamos en esa direcciуn.;;;;;;;;;x;
NOTHING_OA;Ничего;Rien;Nichts;;Nada;;;;;;;;;x;
EVTNAME800;Дворянский мятеж;Rйvolte de la noblesse;Adligenaufstand;;Revuelta de la nobleza;;;;;;;;;x;
