CURIACONTROLLEROTHER_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
CURIACONTROLLEROTHER_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
CURIACONTROLLEROTHER_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
CURIACONTROLLEROTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
EXCOM_TARGET_HIGH_REL;У них слишком хорошие отношения с Папской областью.;Ils entretiennent de trop bonnes relations avec les Йtats pontificaux.;Sie haben zu gute Beziehungen mit dem Kirchenstaat.;;Tienen relaciones demasiado buenas con el estado papal.;;;;;;;;;x;
EXCOM_TARGET_HIGH_INF;Они обладают слишком большим влиянием на Его Святейшество.;Ils ont trop d’influence sur le Saint-Pиre.;Sie haben zu viel Einfluss mit dem heiligen Vater.;;Tienen demasiada influencia sobre el Santo Padre.;;;;;;;;;x;
non_accepted_culture_republic;Культурная терпимость республик;Tolйrance culturelle rйpublicaine;Republikanische Kulturelle Duldung;;Tolerancia cultural republicana;;;;;;;;;x;
CD_TRADE_LEAGUE;Член $LEAGUE$ торгового союза.;Membre de la ligue commerciale $LEAGUE$.;Mitglied der $LEAGUE$ Handelsliga.;;Miembro de la liga comercial $LEAGUE$.;;;;;;;;;x;
TRADELEAGUETITLE;Пригласить в торговый союз;Inviter а rejoindre la ligue commerciale;In Handelsliga einladen;;Invitar a liga comercial;;;;;;;;;x;
TRADELEAGUE2TITLE;Вступить в торговый союз;Rejoindre la ligue commerciale;Handelsliga beitreten;;Unirse a liga comercial;;;;;;;;;x;
CANCELTRADELEAGUETITLE;Выгнать из торгового союза;Annuler l’adhйsion а la ligue ;Liga-Mitgliedschaft widerrufen;;Revocar membresнa a liga;;;;;;;;;x;
CANCELTRADELEAGUE2TITLE;Покинуть торговый союз;Quitter la ligue commerciale;Handelsliga verlassen;;Abandonar liga comercial;;;;;;;;;x;
TRADELEAGUENEWDESC;Вы действительно хотите пригласить державу $COUNTRY$ в наш торговый союз? Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;Voulez-vous proposer а $COUNTRY$ de rejoindre notre ligue commerciale ? Les membres de la ligue йvitent de se faire concurrence et leurs provinces commercent de prйfйrence dans les centres de commerce de la ligue.;Wollt ihr $COUNTRY$ in unsere Handelsliga einladen? Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;їDeseas invitar a $COUNTRY$ a unirse a nuestra liga comercial? Los miembros de la liga evitan competir entre sн, y sus provincias tienden a comerciar a travйs de centros comerciales de la liga.;;;;;;;;;x;
TRADELEAGUE2NEWDESC;Вы действительно хотите попросить у державы $COUNTRY$ разрешения вступить в их торговый союз? Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;Voulez-vous demander а $COUNTRY$ la permission de rejoindre sa ligue commerciale ? Les membres de la ligue йvitent de se faire concurrence et leurs provinces commercent de prйfйrence dans les centres de commerce de la ligue.;Wollt ihr $COUNTRY$ um Aufnahme in ihre Handelsliga bitten? Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;їDeseas pedir a $COUNTRY$ que te admita en su liga comercial? Los miembros de la liga evitan competir entre sн, y sus provincias tienden a comerciar a travйs de centros comerciales de la liga.;;;;;;;;;x;
CANCELTRADELEAGUENEWDESC;Вы действительно хотите выгнать державу $COUNTRY$ из нашего торгового союза? Подобный шаг возмутит их.;Voulez-vous annuler votre adhйsion а la ligue de $COUNTRY$ ? Cela risque de leur dйplaire.;Wollt ihr die Ligamitgliedschaft von $COUNTRY$ widerrufen? Dies wird sie verдrgern.;;їDeseas revocar la membresнa de la liga de $COUNTRY$? Les molestarб.;;;;;;;;;x;
CANCELTRADELEAGUE2NEWDESC;Вы действительно хотите выйти из $COUNTRYADJ$ торгового союза? Подобный шаг возмутит их.;Voulez-vous quitter la ligue commerciale $COUNTRYADJ$ ? Cela risque de leur dйplaire.;Wollte ihr die Handelsliga von $COUNTRYADJ$ verlassen? Dies wird sie verдrgern.;;їDeseas abandonar la liga comercial de $COUNTRYADJ$? Les molestarб.;;;;;;;;;x;
TRADELEAGUEDESC;Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;Les marchands d’une ligue commerciale йvitent de se faire concurrence et les provinces commercent de prйfйrence dans les centres de commerce de la ligue.;Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;Los mercaderes de una liga comercial evitan competir entre sн, y las provincias dentro de la liga tienden a comerciar a travйs de los centros comerciales de la liga.;;;;;;;;;x;
CANCELTRADELEAGUEDESC;Исключение их из нашего торгового союза. Подобный шаг возмутит их.;Annulez votre adhйsion а leur ligue. Cela risque de leur dйplaire.;Kьndigt ihre Liga-Mitgliedschaft auf. Das wird sie verдrgern.;;Revoca su membresнa de la liga. Les molestarб.;;;;;;;;;x;
CANCELTRADELEAGUE2DESC;Выход из торгового союза. Подобный шаг возмутит их.;Quittez leur ligue commerciale. Cela risque de leur dйplaire.;Verlasst ihre Handelsliga. Das wird sie verдrgern.;;Abandona su liga comercial. Les molestarб.;;;;;;;;;x;
TRADELEAGUEREQDESC;Держава $COUNTRY$ приглашает нас в свой торговый союз. Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;$COUNTRY$ nous invite а rejoindre sa ligue commerciale. Les membres de la ligue йvitent de se faire concurrence et leurs provinces commercent de prйfйrence dans les centres de commerce de la ligue.;$COUNTRY$ lдdt uns in ihre Handelsliga ein. Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;$COUNTRY$ nos invita a unirnos a su liga comercial. Los miembros de la liga evitan competir entre sн, y sus provincias tienden a comerciar a travйs de los centros de comercio de la liga.;;;;;;;;;x;
TRADELEAGUE2REQDESC;Держава $COUNTRY$ просит разрешения войти в наш торговый союз. Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;$COUNTRY$ demande а rejoindre notre ligue commerciale. Les membres de la ligue йvitent de se faire concurrence et leurs provinces commercent de prйfйrence dans les centres de commerce de la ligue.;$COUNTRY$ fragt an, ob wir ihrer Handelsliga beitreten wollen. Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;$COUNTRY$ pide que nos unamos a su liga comercial. Los miembros de la liga evitan competir entre sн, y sus provincias tienden a comerciar a travйs de los centros de comercio de la liga.;;;;;;;;;x;
BOTHINLEAGUE;Обе наших державы уже являются членами торговых союзов.;Nous appartenons dйjа tous les deux а des ligues commerciales;Wir sind beide schon in Handelsligen;;Ya estamos ambos en ligas comerciales;;;;;;;;;x;
ACTRALEWITHUS_SETUP;Держава заключает с нами договор о торговом союзе;Lorsqu’une autre nation conclut un accord commercial avec nous;Wenn eine andere Nation ein Handelsligaabkommen mit uns abschlieЯt.;;Cuando otra naciуn firma un tratado de liga comercial con nosotros;;;;;;;;;x;
ACTRALEWITHUS_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett;Herold od;;;;;;x;
ACTRALEWITHUS_1;Торговый союз!;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x;
ACTRALEWITHUS_2;$MONARCHTITLE$, держава;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$,;;;;;;;;;x;
ACTRALEWITHUS_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
ACTRALEWITHUS_4;подписала предложенный нами договор о;a signй;hat unser angebotenes;;ha firmado nuestra propuesta;;;;;;;;;x;
ACTRALEWITHUS_5;§Yторговом союзе§W.;§Yl’accord commercial§W que nous lui avons proposй;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x;
ACTRALEWITHUS_6;Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;Les marchands de la ligue йvitent de se faire concurrence et leurs provinces membres commercent de prйfйrence dans les centres de commerce de la ligue.;Liga-Hдndler vermeiden es, zu konkurrieren und Mitgliederprovinzen tendieren dazu, durch Liga-Handelszentren zu handeln.;;Los mercaderes de la liga evitan competir entre sн, y las provincias miembro tienden a comerciar a travйs de los centros de comercio de la liga.;;;;;;;;;x;
ACTRALEWITHUS_LOG;Держава $RECIPIENT$ заключила с нами договор о торговом союзе.;$RECIPIENT$ a conclu un accord commercial avec nous.;$RECIPIENT$ hat mit uns ein Handelsligaabkommen abgeschlossen.;;$RECIPIENT$ ha firmado un tratado de liga comercial con nosotros.;;;;;;;;;x;
ACTRALEWITHUS_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
ACTRALEWITHUS_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
ACTRALEWITHUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Menj ide:;Pшejнt na;;;;;;x;
ACTRALEWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
WETRADELE_SETUP;Мы заключаем договор о торговом союзе с другой державой;Lorsque nous concluons un accord commercial avec une autre nation;Wenn wir ein Handelsligaabkommen mit einer anderen Nation abschlieЯen;;Cuando firmamos un tratado de liga comercial con otra naciуn;;;;;;;;;x;
WETRADELE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WETRADELE_1;$LEAGUEADJ$ торговый союз!;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x;
WETRADELE_2;$MONARCHTITLE$, после длительного обсуждения мы решили подписать;$MONARCHTITLE$, aprиs mыre rйflexion, nous avons conclu un;$MONARCHTITLE$, nach langer Ьberlegung haben wir nun ein;;$MONARCHTITLE$, tras considerarlo detenidamente, hemos firmado un;;;;;;;;;x;
WETRADELE_3;§Yдоговор о торговом союзе§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x;
WETRADELE_4;с державой;avec;mit;;CONTROLADOR PAPAL;;;;;;;;;x;
WETRADELE_5;$ACTOR$.;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x;
WETRADELE_6;Провинции держав, объединенных в торговую лигу, стремятся торговать через союзные торговые центры, а их купцы не конкурируют друг с другом.;Les marchands de la ligue йvitent de se faire concurrence et les provinces membres commercent de prйfйrence dans les centres de commerce de la ligue.;Ligahдndler vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;Los mercaderes de la liga evitan competir entre sн, y las provincias miembro tienden a comerciar a travйs de los centros de comercio de la liga.;;;;;;;;;x;
WETRADELE_LOG;Мы заключили договор о торговом союзе с державой $ACTOR$.;Nous avons conclu un accord commercial avec $ACTOR$.;Wir schlossen ein Handelsligaabkommen mit $ACTOR$.;;Hemos firmado un tratado de liga comercial con $ACTOR$.;;;;;;;;;x;
WETRADELE_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WETRADELE_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WETRADELE_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WETRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x;
OTHERTRADELE_SETUP;Две державы заключают договор о торговом союзе;Lorsque deux nations йtrangиres concluent un accord commercial;Wenn zwei andere Nationen ein Handelsligaabkommen schlieЯen;;Cuando dos naciones extranjeras firman un tratado de liga comercial;;;;;;;;;x;
OTHERTRADELE_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett;Herold od;;;;;;x;
OTHERTRADELE_1;$LEAGUEADJ$ торговый союз;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x;
OTHERTRADELE_2;сообщает, что державы;$MONARCHTITLE$, on nous informe que;$MONARCHTITLE$;Zostaliњmy poinformowani, їe;$MONARCHTITLE$, nos han informado de que;$MONARCHTITLE$, abbiamo saputo che;Arrуl йrtesьltьnk, hogy ;$MONARCHTITLE$, byli jsme informovбni, ћe;;;;;;x;
OTHERTRADELE_3;$ACTOR$ и $RECIPIENT$;$ACTOR$ et $RECIPIENT$;$ACTOR$ und $RECIPIENT$;;$ACTOR$ y $RECIPIENT$;;;;;;;;;x;
OTHERTRADELE_4;подписали друг с другом;ont conclu un;schlossen ein;;han firmado un;;;;;;;;;x;
OTHERTRADELE_5;§Yдоговор о торговом союзе§W.;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x;
OTHERTRADELE_6;*;*;*;*;*;*;*;;;;;;;x;
OTHERTRADELE_LOG;Держава $RECIPIENT$ заключила договор о торговом союзе с державой $ACTOR$.;$RECIPIENT$ a conclu un accord commercial avec $ACTOR$.;$RECIPIENT$ schloss ein Handelsligaabkommen mit $ACTOR$.;;$RECIPIENT$ ha firmado un tratado de liga comercial con $ACTOR$.;;;;;;;;;x;
OTHERTRADELE_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
OTHERTRADELE_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
OTHERTRADELE_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
OTHERTRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHUS_SETUP;Держава отказывается заключить с нами договор о торговом союзе;Lorsqu’une autre nation refuse de conclure un accord commercial avec nous;Wenn eine andere Nation unser Handelsligaabkommen ablehnt;;Cuando otra naciуn rehъsa firmar nuestro tratado de liga comercial;;;;;;;;;x;
DETRALEWITHUS_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk innen:;Herold od;;;;;;x;
DETRALEWITHUS_1;Отказ в торговом союзе!;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x;
DETRALEWITHUS_2;$MONARCHTITLE$, держава;$MONARCHTITLE$, $RECIPIENT$ a refusй de signer notre;$MONARCHTITLE$, $RECIPIENT$ reagierte ablehnend auf unser;;$MONARCHTITLE$, $RECIPIENT$ ha rehusado firmar nuestro;;;;;;;;;x;
DETRALEWITHUS_3;$RECIPIENT$ отказалась;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x;
DETRALEWITHUS_4;заключить с нами;Tant pis pour eux !;Naja. Ihr Verlust.;;Bueno, ellos se lo pierden.;;;;;;;;;x;
DETRALEWITHUS_5;§Yдоговор о торговом союзе§W.;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHUS_6;Что же. Они неудачники.;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHUS_LOG;Держава $RECIPIENT$ отказалась заключить с нами договор о торговом союзе.;$RECIPIENT$ a refusй de signer notre accord commercial.;$RECIPIENT$ lehnte unser Handelsligaabkommen ab.;;$RECIPIENT$ ha rehusado firmar nuestro tratado de liga comercial.;;;;;;;;;x;
DETRALEWITHUS_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRALEWITHUS_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRALEWITHUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
DETRALEWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
WEDETRALE_SETUP;Мы отказываемся заключить договор о торговом союзе;Lorsque nous refusons de signer un accord commercial;Wenn wir ein angebotenes Handelsligaabkommen ablehnen;;Cuando rehusamos firmar un tratado de liga comercial;;;;;;;;;x;
WEDETRALE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WEDETRALE_1;Отказ в торговом союзе!;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x;
WEDETRALE_2;$MONARCHTITLE$, мы отказались заключить ;$MONARCHTITLE$, nous avons refusй de conclure un;$MONARCHTITLE$, wir lehnten das;;$MONARCHTITLE$, hemos rehusado firmar un;;;;;;;;;x;
WEDETRALE_3;§Yдоговор о торговом союзе§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x;
WEDETRALE_4;с державой;avec;mit;;con;;;;;;;;;x;
WEDETRALE_5;$ACTOR$.;$ACTOR$;$ACTOR$ ab;;$ACTOR$;;;;;;;;;x;
WEDETRALE_6;Это не принесло бы нам никакой пользы...;Nous n’avions rien а y gagner...;Es wдre nicht zu unserem Vorteil…;;No nos resultarнa ventajoso…;;;;;;;;;x;
WEDETRALE_LOG;Мы отказалась заключить договор о торговом союзе с державой $ACTOR$.;Nous avons refusй de conclure un accord commercial avec $ACTOR$.;Wir lehnten es ab, ein Handelsabkommen mit $ACTOR$ abzuschlieЯen.;;Hemos rehusado firmar un tratado de liga comercial con $ACTOR$.;;;;;;;;;x;
WEDETRALE_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WEDETRALE_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WEDETRALE_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WEDETRALE_MAP;*;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHOTHER_SETUP;Одна держава отказывается заключить договор о торговом союзе с другой;Lorsque deux nations йtrangиres ne parviennent pas а conclure un accord commercial;Wenn zwei andere Nationen sich auf kein Handelsligaabkommen einigen kцnnen;;Cuando dos naciones extranjeras firman un tratado de liga comercial;;;;;;;;;x;
DETRALEWITHOTHER_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett innen:;Herold od;;;;;;x;
DETRALEWITHOTHER_1;$LEAGUEADJ$ торговый союз;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x;
DETRALEWITHOTHER_2;сообщает, что держава;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Paсstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x;
DETRALEWITHOTHER_3;$RECIPIENT$ отказалась;a refusй de conclure un accord commercial avec;lehnten ein Handelsligaabkommen mit;;ha rehusado firmar un tratado de liga comercial con;;;;;;;;;x;
DETRALEWITHOTHER_4;заключить договор о торговом союзе с державой;$ACTOR$.;mit $ACTOR$ ab;z $ACTOR$.;$ACTOR$;di: $ACTOR$.;vele: $ACTOR$;$ACTOR$;;;;;;x;
DETRALEWITHOTHER_5;$ACTOR$.;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
DETRALEWITHOTHER_LOG;Держава $RECIPIENT$ отказалась заключить договор о торговом союзе с державой $ACTOR$.;$RECIPIENT$ a refusй de conclure un accord commercial avec $ACTOR$.;$RECIPIENT$ lehnte es ab, ein Handelsligaabkommen mit $ACTOR$ abzuschlieЯen.;;$RECIPIENT$ ha rehusado firmar un tratado de liga comercial con $ACTOR$.;;;;;;;;;x;
DETRALEWITHOTHER_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRALEWITHOTHER_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRALEWITHOTHER_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WEBRKTRADELE_SETUP;Мы разрываем соглашение о торговом союзе ;Lorsque nous rompons un accord commercial;Wenn wir ein Handelsligaabkommen brechen;;Cuando incumplimos un tratado de liga comercial;;;;;;;;;x;
WEBRKTRADELE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WEBRKTRADELE_1;Разрыв торгового союза!;La ligue $LEAGUEADJ$ !;Die $LEAGUEADJ$ Liga;;ЎLa liga $LEAGUEADJ$!;;;;;;;;;x;
WEBRKTRADELE_2;$MONARCHTITLE$, мы приняли мудрое решение;$MONARCHTITLE$, nous avons eu la sagesse de rompre l’accord commercial prйalablement conclu avec;$MONARCHTITLE$, wir haben weise entschieden und brachen das Handelsligaabkommen mit;;$MONARCHTITLE$, hemos roto sabiamente el tratado de liga comercial con;;;;;;;;;x;
WEBRKTRADELE_3;разорвать наш торговый союз;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$:;$RECIPIENT$;$RECIPIENT$;;;;;;x;
WEBRKTRADELE_4;с державой;*;*;*;*;*;*;;;;;;;x;
WEBRKTRADELE_5;$RECIPIENT$.;*;*;*;*;*;*;;;;;;;x;
WEBRKTRADELE_6;*;*;*;*;*;*;*;;;;;;;x;
WEBRKTRADELE_LOG;Мы разорвали соглашение о торговом союзе, заключенное с державой $RECIPIENT$.;Nous avons rompu l’accord commercial prйalablement conclu avec $RECIPIENT$.;Wir brachen das Handelsligaabkommen mit $RECIPIENT$.;;Hemos roto el tratado de liga comercial con $RECIPIENT$.;;;;;;;;;x;
WEBRKTRADELE_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WEBRKTRADELE_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WEBRKTRADELE_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WEBRKTRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x;
BRKTRADELEUS_SETUP;Держава разрывает с нами соглашение о торговом союзе;Lorsqu’une autre nation rompt un accord commercial avec nous;Wenn eine andere Nation ein Handelsligaabkommen mit uns bricht;;Cuando otra naciуn incumple un tratado de liga comercial con nosotros;;;;;;;;;x;
BRKTRADELEUS_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk innen:;Herold od;;;;;;x;
BRKTRADELEUS_1;Разрыв торгового союза!;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
BRKTRADELEUS_2;$MONARCHTITLE$, идиоты из державы;$MONARCHTITLE$, le stupide souverain de;$MONARCHTITLE$, der idiotische Herrscher von;;$MONARCHTITLE$, el estъpido soberano de;;;;;;;;;x;
BRKTRADELEUS_3;$ACTOR$ разорвали;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
BRKTRADELEUS_4;заключенный с нами;a rompu notre;hat unser  ;;ha roto nuestro;;;;;;;;;x;
BRKTRADELEUS_5;§Yдоговор о торговом союзе§W.;§Yaccord commercial§W;§YHandelsligaabkommen§W gebrochen;;§Ytratado de liga comercial§W;;;;;;;;;x;
BRKTRADELEUS_6;Они еще заплатят за это!;Ils vont nous le payer !;Sie werden dafьr bezahlen!;;ЎPagarбn por esto!;;;;;;;;;x;
BRKTRADELEUS_LOG;Держава $ACTOR$ разорвала заключенное с нами соглашение о торговом союзе.;$ACTOR$ a rompu l’accord commercial prйalablement conclu avec nous.;$ACTOR$ hat das Handelsligaabkommen mit uns gebrochen;;$ACTOR$ ha roto el tratado de liga comercial que tenнa con nosotros.;;;;;;;;;x;
BRKTRADELEUS_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
BRKTRADELEUS_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
BRKTRADELEUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
BRKTRADELEUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
BRKTRADELEOTH_SETUP;Одна держава разрывает соглашение о торговом союзе с другой;Lorsqu’une autre nation rompt un accord commercial avec une nation tierce;Wenn eine andere Nation ein Handelsligaabkommen mit einer dritten bricht;;Cuando otra naciуn incumple un tratado de liga comercial con una tercera naciуn;;;;;;;;;x;
BRKTRADELEOTH_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett tхle:;Herold od;;;;;;x;
BRKTRADELEOTH_1;$LEAGUEADJ$ торговый союз;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x;
BRKTRADELEOTH_2;сообщает, что держава;$MONARCHTITLE$, nous tenions а vous informer que;$MONARCHTITLE$, wir haben Neuigkeiten fьr Euch:;Informujemy, їe;$MONARCHTITLE$, deseamos informaros de que;$MONARCHTITLE$, desideriamo comunicare che;Szeretnйnk tudatni Цnnel, hogy;$MONARCHTITLE$, byli jsme informovбni, ћe;;;;;;x;
BRKTRADELEOTH_3;$ACTOR$ разорвала;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
BRKTRADELEOTH_4;заключенный с державой;a rompu son accord commercial avec;hat ihr Handelsligaabkommen mit;;ha incumplido su tratado de liga comercial con;;;;;;;;;x;
BRKTRADELEOTH_5;$RECIPIENT$\n§Yдоговор о торговом союзе§W.;$RECIPIENT$;$RECIPIENT$ gebrochen;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$:;$RECIPIENT$;$RECIPIENT$;;;;;;x;
BRKTRADELEOTH_6;*;*;*;*;*;*;*;;;;;;;x;
BRKTRADELEOTH_LOG;Держава $ACTOR$ разорвала договор о торговом союзе, заключенный с державой $RECIPIENT$.;$ACTOR$ a rompu l’accord commercial prйalablement conclu avec $RECIPIENT$.;$ACTOR$ hat das Handelsligaabkommen mit $RECIPIENT$ gebrochen.;;$ACTOR$ ha roto el tratado de liga comercial que tenнa con $RECIPIENT$.;;;;;;;;;x;
BRKTRADELEOTH_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
BRKTRADELEOTH_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
BRKTRADELEOTH_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
BRKTRADELEOTH_MAP;*;*;*;*;*;*;*;;;;;;;x;
EMBARGOHAVETRADE;Мы подписали с ними торговое соглашение!;Nous avons un accord commercial !;Wir haben ein Handelsabkommen!;;ЎTenemos un acuerdo comercial!;;;;;;;;;x;
