PROVDECISIONOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_SETUP;Мы принимаем провинциальное решение;Lorsque nous appliquons une dйcision provinciale;Wenn wir eine Provinzentscheidung ausfьhren.;;Cuando tomemos una decisiуn provincial.;;;;;;;;;x;
PROVDECISIONUS_HEADER;Наш канцлер сообщает:;Notre chancelier rapporte que;Unser Kanzler berichtet:;Nasz kanclerz donosi;Nuestro canciller informa:;Il nostro Cancelliere riferisce:;Kancellбrunk jelenti:;Nбљ kanclйш hlбsн;;;;;;x;
PROVDECISIONUS_1;Принято решение!;$EVENT$ !;$EVENT$!;$EVENT$!;$EVENT$;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x;
PROVDECISIONUS_2;Государь, мы решили;$DESC$;$DESC$;;$DESC$;;;;;;;;;x;
PROVDECISIONUS_3;$EVENT$;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_4;в провинции;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_5;$PROVINCENAME$.;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_6;$DESC$;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_LOG;Мы приняли решение '$EVENT$' в провинции $PROVINCENAME$.;Dйcision : $EVENT$ en $PROVINCENAME$ pour le joueur.;Entscheidung: $EVENT$ in $PROVINCENAME$ fьr Spieler.;;Decisiуn: $EVENT$ en $PROVINCENAME$ del jugador.;;;;;;;;;x;
PROVDECISIONUS_BTN1;ОК;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
PROVDECISIONUS_BTN2;ОК;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
PROVDECISIONUS_BTN3;*;*;*;*;*;*;*;;;;;;;x;
PROVDECISIONUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
EVTNAME7200;Культурная ассимиляция;Assimilation culturelle;Kulturelle Assimilation;;Asimilaciуn cultural;;;;;;;;;x;
EVTDESC7200;В течение нескольких лет наш язык и традиции настолько укоренились в провинции $PROVINCENAME$, что ее культурная идентичность изменилась.;Au fil des annйes, notre langue et nos traditions ont pris une telle importance au sein de la population de $PROVINCENAME$ que son identitй culturelle a йvoluй.;Ьber die Jahre hinweg sind unsere Sprache und Traditionen unter den Menschen von $PROVINCENAME$ so dominant geworden, das sich ihre kulturelle Identitдt geдndert hat.;;Con el paso de los aсos, nuestra lengua y nuestras tradiciones se han asentado tanto en la poblaciуn de $PROVINCENAME$ que han cambiado su identidad cultural.;;;;;;;;;x;
EVTOPTA7200;Отлично!;Excellent !;Sehr gut!;;ЎExcelente!;;;;;;;;;x;
NEIGHBOR_PROVINCE_STARTS;Любая соседняя провинция;Toute province voisine;Jede benachbarte Provinz;;Cualquier provincia vecina;;;;;;;;;x;
HAS_NOT_OWNER_RELIGION;НЕ принадлежит к государственной религии;N'a pas de religion propre;Hat nicht die Religion des Besitzers;;No comparte la religiуn del propietario;;;;;;;;;x;
HAS_OWNER_RELIGION;Принадлежит к государственной религии;A une religion propre;Hat die Religion des Besitzers;;Comparte la religiуn del propietario;;;;;;;;;x;
HAS_NOT_OWNER_CULTURE;НЕ принадлежит к государственной культуре;N'a pas de culture propre;Hat nicht die Kultur des Besitzers;;No comparte la cultura del propietario;;;;;;;;;x;
HAS_OWNER_CULTURE;Принадлежит к государственной культуре;A une culture propre;Hat die Kultur des Besitzers;;Comparte la cultura del propietario;;;;;;;;;x;
COLONIAL_MAINTENANCE;Содержание колоний;Maintenance coloniale;Kolonialer Unterhalt;;Mantenimiento colonial;;;;;;;;;x;
EXPENSECOLONIAL;Содержание колоний;Colonies, maintenance;Kolonien, Unterhalt;;Colonias, mantenimiento;;;;;;;;;x;
COLONIAL_MAINT_IRO;Число наших колоний равно §Y$NUM_COLONIES$§W, $COLONIES_EACH$ нам требуется §Y$COST$§W¤ в год, что обеспечивает нам $GROWTH$ прирост населения.;Nous disposons de §Y$NUM_COLONIES$§W $COLONIES_EACH$ qui nous coыtent §Y$COST$§W¤ par an а approvisionner, а un taux de croissance de $GROWTH$.;Wir haben §Y$NUM_COLONIES$§W $COLONIES_EACH$ die uns pro Jahr §Y$COST$§W¤ zur Unterstьtzung kosten, bei $GROWTH$ Zuwachsrate.;;Tenemos §Y$NUM_COLONIES$§W $COLONIES_EACH$ nos cuesta §Y$COST$§W¤ al aсo, con un нndice de crecimiento del $GROWTH$.;;;;;;;;;x;
COLONIES_EACH_PLURAL;для их содержания;colonies, chacune;Kolonien, jede;;colonias, y cada una;;;;;;;;;x;
COLONIES_EACH_SINGULAR;для ее содержания;colonie,;Kolonie, ;;colonia, que;;;;;;;;;x;
NO_COLONIAL_MAINT_IRO;У нас нет колоний, нуждающихся в поддержке.;Nous n'avons aucune colonie а soutenir.;Wir haben keine Kolonien zu unterhalten.;;No tenemos ninguna colonia que mantener.;;;;;;;;;x;
PURITAN;Пуритане;Puritain;Puritanisch;;Puritanismo;;;;;;;;;x;
CONGREGATIONALIST;Конгрегационалисты;Congrйgationaliste;Kongregationalistisch;;Congregacionalismo;;;;;;;;;x;
SOCINIAN;Социниане;Socinien;Sozinianisch;;Socinianismo;;;;;;;;;x;
MONTHLY_EXPENSES;Ежемесячные расходы;Dйpenses mensuelles;Monatliche Ausgaben;;Gastos mensuales;;;;;;;;;x;
pretender_rebels_title;Претенденты;Prйtendant;Thronanwдrter;;Pretendiente;;;;;;;;;x;
pretender_rebels_army;армия претендента;Armйe prйtendante;Reiterarmee;;Ejйrcito aspirante;;;;;;;;;x;
pretender_rebels_name;$COUNTRY$ претенденты;Rebelles prйtendants de $COUNTRY$;$COUNTRY$ Thronanwдrterrebellen;;Rebeldes aspirantes de $COUNTRY$;;;;;;;;;x;
pretender_rebels_desc;Эти повстанцы являются верными последователями генерала по имени §Y$PRETENDER_GENERAL$§W, объявившего себя под именем §Y$PRETENDER_MONARCH$§W нашим правителем, и предъявившем права на трон нашей державы. Если он умрет, то восстание умрет вместе с ним.;Ces rebelles sont de fidиles partisans de §Y$PRETENDER_GENERAL$§W qui prйtend au titre de §Y$PRETENDER_MONARCH$§W et revendique le trфne de $COUNTRY$. S'il meurt, la rйbellion meurt avec lui.;Diese Rebellen sind loyale Anhдnger von §Y$PRETENDER_GENERAL$§W, der sich selbst als §Y$PRETENDER_MONARCH$§W sieht und Anspruch auf den Thron von $COUNTRY$ erhebt. Sollte er sterben, so stirbt die Rebellion mit ihm.;;Estos rebeldes son fieles seguidores de §Y$PRETENDER_GENERAL$§W, quien se hace llamar §Y$PRETENDER_MONARCH$§W y aspira al trono de $COUNTRY$. Si muriera, la rebeliуn morirнa con йl.;;;;;;;;;x;
IS_NOT_LESSER;НЕ является младшим партнером в личной унии;N'est pas le membre secondaire d'une union personnelle;Ist nicht der kleinere Partner in einer Personalunion;;No es la parte dйbil de una uniуn personal.;;;;;;;;;x;
IS_LESSER;Является младшим партнером в личной унии;Est le membre secondaire d'une union personnelle;Ist der kleinere Partner in einer Personalunion;;Es la parte dйbil de una uniуn personal.;;;;;;;;;x;
anti_tax_rebels_army;крестьянская армия;Armйe de paysans;Bauernarmee;;Ejйrcito campesino;;;;;;;;;x;
revolutionary_rebels_army;революционная армия;Armйe de rйvolutionnaires;Revolutionsarmee;;Ejйrcito revolucionario;;;;;;;;;x;
heretic_rebels_army;армия правоверных;Armйe de fidиles;Glдubige Armee;;Ejйrcito de fieles;;;;;;;;;x;
religious_rebels_army;религиозная армия;Armйe $RELIGION$;$RELIGION$ Armee;;Ejйrcito del $RELIGION$;;;;;;;;;x;
nationalist_rebels_army;освободительная армия;Armйe de libйration;Befreiungsarmee;;Ejйrcito de liberaciуn;;;;;;;;;x;
noble_rebels_army;дворянская армия;Armйe de nobles;Adligenarmee;;Ejйrcito aristуcrata;;;;;;;;;x;
colonial_rebels_army;колониальная армия;Armйe coloniale;Koloniale Armee;;Ejйrcito colonial;;;;;;;;;x;
patriot_rebels_army;армия борцов за независимость;Combattants de la libertй;Freiheitskдmpfer;;Luchadores por la libertad;;;;;;;;;x;
unite_austria_title;Объединить земли Габсбургов;Unir les terres des Habsbourg;Vereint die Habsburger Lдndereien;;Unificar las tierras de los Habsburgo;;;;;;;;;x;
unite_austria_desc;Согласно немецкой традиции, земли семьи Габсбургов постоянно делились, гарантируя, что каждый сын получит свою часть наследства. Тем не менее, отдельные ветви рода больше не признают старшинство австрийской ветви. Мы должны объединить все семейные земли в одних руках ради их процветания.;Comme le veut la tradition allemande, les terres de la famille Habsbourg ont йtй divisйes pour veiller а ce que chaque fils reзoive un hйritage. Mais les branches distinctes ne reconnaissent plus la supйrioritй de la branche autrichienne. Pour prospйrer, nous devons unir les terres familiales. ;Der deutschen Tradition folgend wurden die Lдndereien der Habsburger geteilt um sicherzustellen, das jeder Sohn ein Erbe erhielt. Aber die unterschiedlichen Teile erkennen den цsterreichischen Stamm nicht mehr als das Oberhaupt an. Wir mьssen die Lдnder wieder vereinen.;;Siguiendo la tradiciуn alemana, las tierras de los Habsburgo fueron divididas para asegurar que cada hijo recibiera una herencia. Sin embargo, las ramas separadas ya no reconocen el seсorнo de la rama austriaca. Tenemos que unir las tierras de la familia si queremos prosperar. ;;;;;;;;;x;
recover_silesia_title;Вернуть Силезию;Rйcupйrer la Silйsie;Gewinnt Schlesien zurьck;;Recuperar Silesia;;;;;;;;;x;
recover_silesia_desc;Силезия всегда была неотъемлемой частью габсбургского наследства, однако сейчас контроль над ней утерян. Мы должны вернуть ее ради величия нашей династии.;La province de la Silйsie fait lйgitimement partie de l'hйritage des Habsbourg, mais a йtй perdue. Nous devons la rйcupйrer pour la majestй de la dynastie des Habsbourg. ;Die Provinz Schlesien ist ein legitimer Teil des Habsburger Erbes, aber sie ging verloren. Wir mьssen sie im Namen des Herrschers der Habsburger Dynastie zurьckerlangen!;;La provincia de Silesia es parte legнtima de la herencia de los Habsburgo, pero se ha perdido. Tenemos que recuperarla por el bien de la majestad de la dinastнa Habsburgo. ;;;;;;;;;x;
reclaim_the_empire_title;Вернуть корону империи;Rйcupйrer la couronne impйriale;Gewinnt die Reichskrone zurьck;;Recuperar la Corona Imperial;;;;;;;;;x;
reclaim_the_empire_desc;Со времен Рудольфа, графа Габсбурга, бывшего императором Священной Римской империи и основателем австрийского герцогства, целью его потомков было возвращение на трон немецкого королевства. Вы должны сделать все возможное, чтобы в империю вернулась стабильность - в лице австрийского императора.;Depuis que Rodolphe, comte de Habsbourg, a йtй couronnй Empereur du Saint Empire et a guidй sa famille vers le duchй d'Autriche, tous les ducs autrichiens souhaitent prendre la tкte du Saint Empire Romain. Vous devez faire en sorte que l'Empire jouisse de la stabilitй dont il a besoin, un Empereur autrichien. ;Immer seit Rudolf, Graf von Habsburg, zum Kaiser des heiligen rцmischen Reichs gekrцnt wurde und seine Familie in das Herzogtum Цsterreich manцvriert hat war es das Ziel aller Цsterreichischen Herzцge, Kaiser des Reiches zu werden. Ihr mьsst tun, was immer nцtig ist, das das Reich die Stabilitдt hat die es braucht - eine цsterreichischen Kaiser.;;Desde que Rodolfo, Conde de Habsburgo, fue coronado Sacro Emperador Romano y colocу a su familia en el Ducado de Austria, el objetivo de todos los duques austriacos ha sido convertirse en el Sacro Imperio Romano. Debйis hacer lo necesario para asegurar que el Imperio tenga la estabilidad que necesita: un emperador austriaco. ;;;;;;;;;x;
subjugate_bohemia_title;Богемия должна признать власть Австрии;La Bohкme doit accepter la suzerainetй de l'Autriche;Bцhmen muss die Цsterreichische Herrschaft akzeptieren;;Bohemia tiene que aceptar el seсorнo austriaco;;;;;;;;;x;
subjugate_bohemia_desc;Судьба королевства Богемия всегда интересовала герцогов Австрии. Мы должны принять меры и крепче привязать королевство к нашей сфере влияния.;Le destin du royaume de Bohкme a toujours intйressй les ducs d'Autriche. Nous devons nous y impliquer davantage et placer le royaume sous notre joug. ;Das Schicksal des Kцnigreichs Bцhmen war schon lang von Interesse fьr die Herzцge Цsterreichs. Wir mьssen eine aktivere Rolle dabei Spielen und das Kцnigreich mehr in unseren Orbit ziehen.;;El destino del Reino de Bohemia hace mucho que interesa a los duques de Austria. Tenemos que adoptar un papel mбs activo al respecto, y atraer a dicho reino con mбs firmeza hacia nuestra уrbita. ;;;;;;;;;x;
subjugate_hungary_title;Упадок Венгрии;Le dйclin de la Hongrie ;Der Niedergang Ungarns;;El rechazo de Hungrнa ;;;;;;;;;x;
subjugate_hungary_desc;Относительный спад отношений Венгрии с Австрией вызывает у нас беспокойство. Мы должны упрочить наши отношения с Венгрией, дабы гарантировать, что ее земли не попадут во враждебные руки.;Le dйclin du cousin hongrois par rapport au duchй d'Autriche est source d'inquiйtude. Nous devons resserrer nos relations avec la Hongrie pour veiller а ce que ses terres ne tombent pas entre des mains hostiles. ;Der Niedergang Ungarns im Vergleich mit dem Herzogtum Цsterreich ist ein Grund zur Sorge. Wir mьssen unsere Beziehungen mit Ungarn verstдrken um sicherzustellen, das es nicht in fremde Hдnde fдllt.;;El relativo rechazo de Hungrнa en relaciуn con el Ducado de Austria es causa de preocupaciуn. Tenemos que fortalecer nuestra relaciуn con Hungrнa para asegurarnos de que sus territorios no caen en manos hostiles. ;;;;;;;;;x;
subjugate_burgundy_title;Бургундское наследство;L'hйritage bourguignon;Das burgundische Erbe;;La herencia borgoсona;;;;;;;;;x;
subjugate_burgundy_desc;Бургундия расположена на границе между империей и Францией. Судьба этого герцогства крайне важна для нас. Мы должны убедиться, что дом Габсбургов сможет сказать свое слово, если с ними что-то случится.;La Bourgogne se trouve а la frontiиre entre l'Empire et la France. Le destin de ce duchй revкt une importance capitale pour nous. Nous devons veiller а ce que la maison des Habsbourg ait son mot а dire, mкme si le pire est а venir. ;Burgund liegt an der Grenze zwischen Frankreich und dem Reich. Das Schicksal dieses Herzogtums ist von entscheidender Bedeutung fьr uns. Wir mьssen sicherstellen, das das Haus Habsburg bei seinem Schicksal mitbestimmen kann, sollte das Schlimmste geschehen.;;Borgoсa se encuentra en la frontera entre el Imperio y Francia. El destino de dicho ducado es de vital importancia para nosotros. Tenemos que asegurarnos de que, en el peor de los casos, la casa de los Habsburgo tenga su influencia. ;;;;;;;;;x;
no_ottomans_in_eastern_balkans_title;Отбросить турок;Repousser les Turcs;Schlagt den Tьrken zurьck;;Hacer retroceder al turco;;;;;;;;;x;
no_ottomans_in_eastern_balkans_desc;Власть Турции над восточными Балканами - слишком серьезная угроза для Австрии. Ради нашей безопасности мы должны взять эти территории под свой контроль.;Le contrфle turc des Balkans orientaux constitue une menace pour l'Autriche qu'il faut neutraliser. Nous devons prendre le contrфle d'une partie de ces terres pour notre propre sйcuritй. ;Die tьrkische Kontrolle ьber den цstlichen Balkan ist eine zu groЯe Gefahr fьr Цsterreich, als sie zu ignorieren. Wir mьssen die Kontrolle ьber einige dieser Lдnder zu unserem Schutz erlangen.;;El control turco sobre los Balcanes orientales es mбs amenaza de la que Austria se puede permitir. Por nuestra propia seguridad, tenemos que tomar el control de algunos de esos territorios. ;;;;;;;;;x;
no_ottomans_in_western_balkans_title;Обезопасить границу;Sйcuriser la frontiиre militaire ;Sichert die Militдrgrenze;;Asegurar la frontera militar ;;;;;;;;;x;
no_ottomans_in_western_balkans_desc;Мы должны оттеснить ужасных турок, укрепившихся на западе Балкан, от наших границ ради нашей же безопасности.;Avec les redoutables Turcs solidement retranchйs dans les Balkans occidentaux, nous devons les repousser pour sйcuriser la frontiиre militaire.;Mit dem Tьrken noch immer fest im westlichen Balkan verankert mьssen wir ihn zurьcktreiben, um die Militдrgrenze abzusichern.;;Con el temido turco aъn firmemente atrincherado en los Balcanes occidentales, tenemos que hacerle retroceder para asegurar nuestra frontera militar.;;;;;;;;;x;
partition_poland_title;Раздел Польши;Le dйcoupage de la Pologne ;Die Teilung Polens;;El reparto de Polonia ;;;;;;;;;x;
partition_poland_desc;Польша слаба, и наши друзья в Пруссии и России полны решительности откусить пару кусочков от королевства. Польша играет важную для нас роль буфера, и если ее поделят на части, мы должны получить компенсацию в виде богатых провинций Галиции.;La Pologne est affaiblie et nos amis prussiens et russes sont dйterminer а prendre leur part du royaume. La Pologne constitue une prйcieuse zone tampon pour nous et si son dйcoupage s'impose, nous devons кtre dйdommagйs par l'obtention des riches provinces de Galice. ;Polen ist schwach und unsere Freunde PreuЯen und Russland sind fest entschlossen, Teile des Kцnigreichs fьr sich selbst zu nehmen. Polen stellt eine wichtige Pufferzone fьr uns da und sollte es geteilt werden mьssen wir sicherstellen, das wir die reiche Provinz Galizien als Kompensation erhalten.;;Polonia estб debilitada y nuestros amigos de Prusia y Rusia estбn resueltos a sacar tajada del reino. Polonia representa un valioso tapуn para nosotros y, si resulta dividida, debemos ser compensados haciendo que las ricas provincias de Galitzia caigan de nuestro lado. ;;;;;;;;;x;
austria_spain_relations_title;Отношения с Испанией;La relation avec l'Espagne;Die Beziehungen mit Spanien;;La relaciуn con Espaсa;;;;;;;;;x;
austria_spain_relations_desc;Периферийная позиция Испании в Европе делает ее привлекательным партнером для Австрии, в случае угрозы со стороны Франции. Мы должны установить с Испанией хорошие отношения и закрепить их с помощью династического брака.;La position pйriphйrique de l'Espagne en Europe en fait un partenaire intйressant pour l'Autriche face а d'йventuelles menaces franзaises. Nous devons veiller а pйrenniser les solides relations que nous entretenons avec l'Espagne par le biais d'un mariage. ;Spaniens Position an der Peripherie Europas macht es zu einem attraktiven Partner fьr Цsterreich, im Falle von Franzцsischen Drohungen. Wir mьssen sicherstellten, das wir gute Beziehungen mit Spanien pflegen und diese mit einer Hochzeit zu besiegeln.;;La posiciуn perifйrica de Espaсa en Europa la convierte en un atractivo socio para Austria, en caso de amenazas por parte de Francia. Tenemos que asegurarnos de disfrutar de unas sуlidas relaciones con Espaсa y cimentarlas con un matrimonio. ;;;;;;;;;x;
austria_burgundy_relations_title;Защитить границу империи;Sйcurisation de la frontiиre impйriale;Sicherung der Reichsgrenzen;;Asegurar la frontera imperial;;;;;;;;;x;
austria_burgundy_relations_desc;Французские земли богаты и многолюдны, тот, кто контролирует их, напрямую угрожает империи. Мы должны защитить границы империи, укрепив наши отношения с Бургундией.;Les terres franзaises sont riches et peuplйes а la fois, et ceux qui les contrфlent constituent une menace pour l'empire. Nous devons dйfendre la frontiиre impйriale en renforзant nos relations avec la Bourgogne.;Die Franzцsischen Lдndereien sind sowohl reich als auch bevцlkerungsreich, wer immer sie kontrolliert ist eine Bedrohung fьr das Reich. Wir mьssen die Reichsgrenze schьtzen, indem wir die Beziehungen zum+F835 Herzogtum Burgund stдrken.;;Los territorios franceses tienen riqueza y mucha poblaciуn. Quienquiera que los controle es una amenaza para el Imperio. Tenemos que ayudar a defender la frontera imperial, reforzando nuestra relaciуn con Borgoсa.;;;;;;;;;x;
austria_bavaria_relations_title;Защита наследственных владений;Protection des terres ancestrales ;Schutz der Stammgebiete;;Proteger los territorios ancestrales ;;;;;;;;;x;
austria_bavaria_relations_desc;С севера наследственным землям Габсбургов может угрожать герцогство Баварское. Мы должны укрепить наши с ними связи, чтобы гарантировать, что они не станут нашим врагом.;Au nord des terres ancestrales de la dynastie des Habsbourg se trouve la menace potentielle du duchй de Baviиre. Nous devons renforcer les relations que nous entretenons avec lui pour veiller а ne pas nous en faire un ennemi. ;Im Norden der Habsburger Stammlande liegt die potenzielle Bedrohung durch das Herzogtum Bayern. Wir mьssen unsere Beziehungen zu ihnen stдrken um sicherzustellen, das sie nicht zu einem Feind werden.;;Al norte de los territorios ancestrales de la dinastнa de los Habsburgo estб la potencial amenaza del Ducado de Bavaria. Tenemos que reforzar nuestras relaciones con ellos para asegurarnos de que no se conviertan en un enemigo. ;;;;;;;;;x;
no_territory_to_the_ottomans_title;Никаких австрийских земель туркам;Aucune terre autrichienne aux Turcs ;Keine цsterreichischen Lдndereien an den Tьrken;;Ninguna tierra austriaca para los turcos ;;;;;;;;;x;
no_territory_to_the_ottomans_desc;В этой войне крайне необходимо, чтобы ни одна провинция, являющаяся частью Австрии, не перешла в руки турок. Мы должны сражаться за свою землю до последней пяди земли.;Il est impйratif qu'au cours de cette guerre, aucune terre autrichienne ne tombe aux mains des Turcs. Nous devons nous battre jusqu'а ce que toutes les terres soient nфtres. ;Es ist von дuЯerster Wichtigkeit das in diesem Krieg keine Lдndereien, die Teil von Цsterreich sind, vom Tьrken gehalten werden. Wir mьssen weiterkдmpfen, bis sie alle unter unserer Kontrolle sind.;;Es imperativo que en esta guerra ni un solo territorio austriaco caiga en manos turcas. Tenemos que luchar hasta que todos los territorios sean nuestros. ;;;;;;;;;x;
hegemony_over_north_italy_title;Наши притязания на северную Италию;Nos revendications au nord de l’Italie;Unsere Ansprьche in Norditalien;;Nuestras reivindicaciones en el norte de Italia ;;;;;;;;;x;
hegemony_over_north_italy_desc;У нас есть серьезные притязания на земли Ломбардии. Его величество требует, чтобы мы заявили о своих правах.;Nous avons des prйtentions en Lombardie. Notre majestй exige que nous obtenions ces prйtentions. ;Wir haben starke Ansprьche auf die Lдndereien in der Lombardei. Seine Majestдt eurer Dynastie verlangt, diese Ansprьche durchzusetzen.;;Tenemos firmes reivindicaciones de territorios en Lombardнa. La majestad de nuestra dinastнa exige que insistamos en dichas exigencias. ;;;;;;;;;x;
annex_hungary_title;Защита венгров;Protйger les Hongrois;Schьtzt die Ungarn;;Proteger a los hъngaros;;;;;;;;;x;
annex_hungary_desc;Венгрия признала над собой сюзеренитет Габсбургской фамилии. Однако, учитывая текущую ситуацию на Балканах, Венгрия по-прежнему остается крайне уязвимой. Следует убедить венгерское дворянство, что они выстоят, только войдя в унию с Австрией.;Le royaume de Hongrie a acceptй notre suzerainetй, mais la situation dans les Balkans nous laisse а penser que la Hongrie est toujours trop vulnйrable. Nous devons convaincre la noblesse hongroise que seule une union avec l'Autriche nous confйrera la force suffisante pour l'emporter. ;Das Kцnigreich Ungarn hat unsere Oberherrschaft akzeptiert, aber mit der Situation auf dem Balkan so wie sie ist denken wir, das Ungern noch immer zu anfдllig ist. Wir mьssen den Adligen Ungarns klarmachen, das nur eine Personalunion mit Цsterreich Ungarn retten kann.;;El Reino de Hungrнa ha aceptado nuestro protectorado pero, tal y como empieza a ser la situaciуn en los Balcanes, creemos que Hungrнa sigue siendo muy vulnerable. Tenemos que convencer a la nobleza hъngara que solo una sуlida uniуn con Austria nos harб lo bastante fuertes como para prevalecer. ;;;;;;;;;x;
protect_belgium_from_the_french_title;Защитить южные Нидерланды;Dйfendre le sud des Pays-Bas ;Verteidigt die sьdlichen Niederlande;;Defender el sur de los Paнses Bajos ;;;;;;;;;x;
protect_belgium_from_the_french_desc;В продолжающейся войне с Францией мы должны обеспечить защиту наших владений в южных Нидерландах. Иначе французская угроза станет слишком велика.;Dans la guerre continue que nous livrons aux Franзais, nous devons veiller а conserver ce que nous possйdons au sud des Pays-Bas. Sinon, la menace franзaise s'intensifiera au point d'en devenir intolйrable. ;In unserem Krieg gegen die Franzosen mьssen wir sicherstellen, das unsere Besitzungen in den sьdlichen Niederlanden unsere bleiben. Ansonsten wird die franzцsischen Gefahr zu stark werden.;;En nuestra guerra actual con los franceses, tenemos que asegurarnos de conservar nuestras posesiones en el sur de los Paнses Bajos. Si no, la amenaza francesa se harб insufrible. ;;;;;;;;;x;
protect_hungary_from_the_ottomans_title;Защитить Венгрию от турок;Protйger la Hongrie des Ottomans ;Schьtzt Ungarn vor den Ottomanen;;Proteger a Hungrнa de los otomanos ;;;;;;;;;x;
protect_hungary_from_the_ottomans_desc;Война против турок в самом разгаре, и мы обязаны обеспечить защиту венгерских провинций и не дать им перейти под османское владычество.;Dans la guerre acharnйe que nous livrons aux Ottomans, il est de notre devoir de veiller а ce que les provinces hongroises ne tombent pas entre les mains ottomanes. ;Mit dem Krieg gegen die Ottomanen in vollem Gang ist es unsere Pflicht sicherzustellen, das die Provinzen Ungarns nicht unter dem Joch der Ottomanen enden.;;Con la guerra contra los otomanos en pleno apogeo, es nuestro deber asegurarnos de que, al final, las provincias de Hungrнa no acaben bajo el yugo otomano. ;;;;;;;;;x;
protect_italy_from_the_french_title;Изгнать французов из Италии;Empкcher les Franзais d'accйder а l'Italie ;Haltet die Franzosen von Italien fern;;Mantener a Francia fuera de Italia ;;;;;;;;;x;
protect_italy_from_the_french_desc;Северная Италия - один из очевидных путей вторжения в Австрию с запада. Безопасность монархии требует, чтобы мы не заключали мира с французами, пока хотя бы одна итальянская провинция находится в их руках.;Le nord de l'Italie est l'un des itinйraires les plus йvidents pour une invasion par l'ouest de l'Autriche. La sйcuritй de la monarchie exige qu'il n'y ait pas de paix tant qu'une province sera sous contrфle franзais. ;Norditalien ist die offensichtliche westliche Route fьr eine Invasion Цsterreichs. Die Sicherheit der Monarchie befiehlt das es keinen Frieden geben kann, solange eine einzige Provinz dort in der Hand der Franzosen ist.;;La Italia septentrional es una de las rutas mбs evidentes para una invasiуn de Austria desde el oeste. La seguridad de la monarquнa exige que no haya paz mientras quede una sola provincia bajo el control francйs. ;;;;;;;;;x;
protect_italy_from_the_french_republic_title;Защитить Италию от революционной Франции;Protйger l'Italie des forces rйvolutionnaires ;Schьtzt Italien vor den Revolutionskrдften;;Proteger a Italia de las fuerzas revolucionarias ;;;;;;;;;x;
protect_italy_from_the_french_republic_desc;Грязные мерзавцы из революционной Франции угрожают захватить Северную Италию. Наш священный долг - не допустить этого. Ни одна провинция Северной Италии не должна остаться в руках революционеров и их якобинского режима.;Des hordes de rйvolutionnaires franзais menacent de dйferler sur le nord de l'Italie. Il est de notre devoir de veiller а ce qu'une telle chose n'arrive pas. Aucune province du nord de l'Italie ne doit rester aux mains des rйvolutionnaires et de leur rйgime jacobin. ;Die Horden des revolutionдren Frankreich bedrohen Norditalien. Es ist unsere heilige Pflicht sicherzustellen, das das nicht passiert. Keine Provinz in Norditalien darf in den Hдnden der Revolutionдre und ihrem jakobineschen Regime bleiben.;;Las insensatas hordas de franceses revolucionarios amenazan con aplastar el norte de Italia. Es nuestro sagrado deber asegurarnos de que algo asн no suceda. No se debe permitir que ninguna provincia del norte de Italia quede en manos de los revolucionarios y de su rйgimen jacobino. ;;;;;;;;;x;
free_transylvania_from_the_ottomans_title;Освободить Трансильванию от турок;Libйrer la Transylvanie des Ottomans ;Befreit Siebenbьrgen von den Ottomanen;;Liberar a Transilvania de los otomanos ;;;;;;;;;x;
free_transylvania_from_the_ottomans_desc;Турецкие войска разорили прекрасную Трансильванию, и бежавшие оттуда дворяне рассказывают жуткие истории об их злодеяниях. Мы должны освободить эти земли во имя Господа.;Les forces ottomanes pillent les anciennes terres transylvaniennes et des nobles en exil ont fait part de leurs agissements. Nous devons libйrer ces terres au nom de la chrйtientй. ;Die Ottomanischen Streitkrдfte plьndern die einst reichen Lдnder Siebenbьrgens, exilierte Adlige haben Geschichten ihrer Taten mitgebracht. Wir mьssen diese Lдndereien im Namen der Christenheit befreien.;;Las fuerzas otomanas estбn expoliando las que un dнa fueron las bellas tierras de Transilvania. Los nobles exiliados cuentan lo que les estбn haciendo. Debemos liberar esas tierras en nombre de la Cristiandad. ;;;;;;;;;x;
RULER_IS_MALE;Правитель - мужчина\n;Le souverain est un homme;Herrscher ist mдnnlich;;El gobernante es varуn;;;;;;;;;x;
RULER_IS_FEMALE;Правитель - женщина\n;Le souverain est une femme;Herrscher ist weiblich;;El gobernante es hembra;;;;;;;;;x;
assimilate_colony_title;Ассимилировать колонию;Assimiler la colonie;Kolonie assimilieren;;Colonia asimilada;;;;;;;;;x;
